排名,电影名,得分,评分人数,主演和导演,简介
23,当幸福来敲门,9.1,9.1,导演:加布里尔·穆奇诺GabrieleMuccino主演:威尔·史密斯WillSmith...,平民励志片。 
24,怦然心动,9.1,9.1,导演:罗伯·莱纳RobReiner主演:玛德琳·卡罗尔MadelineCarroll/卡...,真正的幸福是来自内心深处。
25,触不可及,9.2,9.2,导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano主...,满满温情的高雅喜剧。
26,控方证人,9.6,9.6,导演:比利·怀尔德BillyWilder主演:泰隆·鲍华TyronePower/玛琳·...,比利·怀德满分作品。
27,蝙蝠侠：黑暗骑士,9.2,9.2,导演:克里斯托弗·诺兰ChristopherNolan主演:克里斯蒂安·贝尔Christ...,无尽的黑暗。
28,活着,9.3,9.3,导演:张艺谋YimouZhang主演:葛优YouGe/巩俐LiGong/姜武WuJiang,张艺谋最好的电影。
29,末代皇帝,9.3,9.3,导演:贝纳尔多·贝托鲁奇BernardoBertolucci主演:尊龙JohnLone/陈...,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
30,寻梦环游记,9.1,9.1,导演:李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina主演:...,死亡不是真的逝去，遗忘才是永恒的消亡。
31,乱世佳人,9.3,9.3,导演:维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor主演:费...,Tomorrow is another day.
32,何以为家,9.1,9.1,导演:娜丁·拉巴基NadineLabaki主演:扎因·拉费阿Zainal-Rafeea/...,凝视卑弱生命，用电影改变命运。
33,指环王3：王者无敌,9.2,9.2,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...,史诗的终章。
34,摔跤吧！爸爸,9.0,9.0,导演:涅提·蒂瓦里NiteshTiwari主演:阿米尔·汗AamirKhan/法缇玛...,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
35,飞屋环游记,9.0,9.0,导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson主演:爱德...,最后那些最无聊的事情，才是最值得怀念的。 
36,少年派的奇幻漂流,9.1,9.1,导演:李安AngLee主演:苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan...,瑰丽壮观、无人能及的冒险之旅。
37,十二怒汉,9.4,9.4,导演:SidneyLumet主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...,1957年的理想主义。 
38,素媛,9.3,9.3,导演:李濬益Jun-ikLee主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
39,哈利·波特与魔法石,9.1,9.1,导演:ChrisColumbus主演:DanielRadcliffe/EmmaWatson/RupertGrint,童话世界的开端。
40,鬼子来了,9.3,9.3,导演:姜文WenJiang主演:姜文WenJiang/香川照之TeruyukiKagawa/...,对敌人的仁慈，就是对自己残忍。
41,哈尔的移动城堡,9.1,9.1,导演:宫崎骏HayaoMiyazaki主演:倍赏千惠子ChiekoBaishô/木村拓...,带着心爱的人在天空飞翔。
42,天空之城,9.1,9.1,导演:宫崎骏HayaoMiyazaki主演:田中真弓MayumiTanaka/横泽启子Ke...,对天空的追逐，永不停止。 
43,大话西游之月光宝盒,9.0,9.0,导演:刘镇伟JeffreyLau主演:周星驰StephenChow/吴孟达ManTatNg...,旷古烁今。
44,天堂电影院,9.2,9.2,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:安东内拉·阿蒂利Anton...,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
45,罗马假日,9.0,9.0,导演:威廉·惠勒WilliamWyler主演:奥黛丽·赫本AudreyHepburn/格...,爱情哪怕只有一天。
46,闻香识女人,9.1,9.1,导演:马丁·布莱斯MartinBrest主演:阿尔·帕西诺AlPacino/克里斯...,史上最美的探戈。
47,我不是药神,9.0,9.0,导演:文牧野MuyeWen主演:徐峥ZhengXu/王传君ChuanjunWang/周...,对我们国家而言，这样的电影多一部是一部。
48,辩护人,9.2,9.2,导演:杨宇硕Woo-seokYang主演:宋康昊Kang-hoSong/金英爱Yeong-ae...,电影的现实意义大过电影本身。
49,搏击俱乐部,9.0,9.0,导演:大卫·芬奇DavidFincher主演:爱德华·诺顿EdwardNorton/布拉...,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
50,教父2,9.2,9.2,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:阿尔·帕西诺A...,优雅的孤独。
51,大闹天宫,9.3,9.3,导演:万籁鸣LaimingWan/唐澄ChengTang主演:邱岳峰YuefengQiu/...,经典之作，历久弥新。
52,狮子王,9.0,9.0,导演:RogerAllers/罗伯·明可夫RobMinkoff主演:乔纳森·泰勒·托马...,动物版《哈姆雷特》。
53,死亡诗社,9.1,9.1,导演:彼得·威尔PeterWeir主演:罗宾·威廉姆斯RobinWilliams/罗伯...,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
54,指环王2：双塔奇兵,9.1,9.1,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...,承前启后的史诗篇章。
55,猫鼠游戏,9.0,9.0,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:莱昂纳多·迪卡普里奥L...,骗子大师和执著警探的你追我跑故事。 
56,窃听风暴,9.1,9.1,导演:弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck&n...,别样人生。
57,钢琴家,9.2,9.2,导演:罗曼·波兰斯基RomanPolanski主演:艾德里安·布洛迪AdrienBrod...,音乐能化解仇恨。
58,指环王1：魔戒再现,9.0,9.0,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...,传说的开始。
59,黑客帝国,9.0,9.0,导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski主...,视觉革命。
60,美丽心灵,9.0,9.0,导演:朗·霍华德RonHoward主演:罗素·克劳RussellCrowe/艾德·哈...,爱是一切逻辑和原由。
